Name	Fraction	Experiment	PTM
SPORO_1_1	11	SPORO1	
SPORO_1_2	12	SPORO1	
SPORO_1_3	13	SPORO1	
SPORO_1_4	14	SPORO1	
SPORO_1_5	15	SPORO1	
SPORO_2_1	11	SPORO2	
SPORO_2_2	12	SPORO2	
SPORO_2_3	13	SPORO2	
SPORO_2_4	14	SPORO2	
SPORO_2_5	15	SPORO2	
SPORO_3_1	11	SPORO3	
SPORO_3_2	12	SPORO3	
SPORO_3_3	13	SPORO3	
SPORO_3_4	14	SPORO3	
SPORO_3_5	15	SPORO3	
WALL_1_1	11	WALL1	
WALL_1_2	12	WALL1	
WALL_1_3	13	WALL1	
WALL_1_4	14	WALL1	
WALL_1_5	15	WALL1	
WALL_2_1	11	WALL2	
WALL_2_2	12	WALL2	
WALL_2_3	13	WALL2	
WALL_2_4	14	WALL2	
WALL_2_5	15	WALL2	
WALL_3_1	11	WALL3	
WALL_3_2	12	WALL3	
WALL_3_3	13	WALL3	
WALL_3_4	14	WALL3	
WALL_3_5	15	WALL3	
BC-SPORO1-1	1	SPORO4	
BC-SPORO1-2	2	SPORO4	
BC-SPORO1-3	3	SPORO4	
BC-SPORO1-4	4	SPORO4	
BC-SPORO1-5	5	SPORO4	
BC-SPORO2-1	1	SPORO5	
BC-SPORO2-2	2	SPORO5	
BC-SPORO2-3	3	SPORO5	
BC-SPORO2-4	4	SPORO5	
BC-SPORO2-5	5	SPORO5	
BC-SPORO3-1	1	SPORO6	
BC-SPORO3-2	2	SPORO6	
BC-SPORO3-3	3	SPORO6	
BC-SPORO3-4	4	SPORO6	
BC-SPORO3-5	5	SPORO6	
BC-WALL1-1	1	WALL4	
BC-WALL1-2	2	WALL4	
BC-WALL1-3	3	WALL4	
BC-WALL1-4	4	WALL4	
BC-WALL1-5	5	WALL4	
BC-WALL2-1	1	WALL5	
BC-WALL2-2	2	WALL5	
BC-WALL2-3	3	WALL5	
BC-WALL2-4	4	WALL5	
BC-WALL2-5	5	WALL5	
BC-WALL3-1	1	WALL6	
BC-WALL3-2	2	WALL6	
BC-WALL3-3	3	WALL6	
BC-WALL3-4	4	WALL6	
BC-WALL3-5	5	WALL6	
BC_BC-1	31	WALL0	
BC_BC-2	32	WALL0	
BC_BC-3	33	WALL0	
BC_BC-4	34	WALL0	
BC_BC-5	35	WALL0	
