,id,rank,FDR,sign,log_FDR,log_rank,srank,desc
cgd1_800-RA-p1,1,93.85720699999999,0.01,+,1.9625735020593764,1.9724676263463699,93.85720699999999,Protein disulfide isomerase
cgd7_5150-RA-p1,2,67.279057,0.04,+,1.3882766919926581,1.8278798956530167,67.279057,Chitin-binding type-2 domain containing protein
cgd6_4840-RA-p1,3,65.097189,0.04,+,1.3882766919926581,1.8135622354476646,65.097189,"Serine protease, subtilase family, signal peptide"
cgd6_2090-RA-p1,4,62.289538,0.04,+,1.3882766919926581,1.7944151097343959,62.289538,Growth factor receptor cysteine-rich domain containing protein
cgd4_3090-RA-p1,5,56.644123,0.04,+,1.3882766919926581,1.7531548571637137,56.644123,Oocyst wall protein 6
cgd8_600-RA-p1,6,55.154359,0.04,+,1.3882766919926581,1.7415798416145887,55.154359,"Serine aminopeptidase, S33"
cgd7_4560-RA-p1,7,53.858537,0.04,+,1.3882766919926581,1.7312545521676472,53.858537,Sushi/SCR/CCP/SbsA/lg-like domain containing protein
cgd7_850-RA-p1,8,52.503351,0.04,+,1.3882766919926581,1.720187022917677,52.503351,Patched family protein/Sterol-sensing domain-containing protein
cgd6_200-RA-p1,9,48.909501,0.04,+,1.3882766919926581,1.6893932319471876,48.909501,Oocyst wall protein 8
cgd3_190-RA-p1,10,47.503254999999996,0.04,+,1.3882766919926581,1.6767233692060335,47.503254999999996,Fibrillin/EGF-like calcium-binding conserved site-containing protein
cgd6_2470-RA-p1,11,46.831046,0.04,+,1.3882766919926581,1.6705338581227764,46.831046,Sulfhydryl oxidase
cgd8_5090-RA-p1,12,45.649063,0.04,+,1.3882766919926581,1.659431867563507,45.649063,Uncharacterized protein
cgd3_3700-RA-p1,13,39.920146,0.062310000000000004,+,1.1992142096722374,1.601192120963991,39.920146,Uncharacterized protein
cgd6_300-RA-p1,14,39.351815,0.06429,+,1.185819018959813,1.5949647678591625,39.351815,Uncharacterized protein
cgd2_3320-RA-p1,15,38.635797,0.06429,+,1.185819018959813,1.586989875533602,38.635797,Papain family cysteine protease
cgd2_2510-RA-p1,16,34.095415,0.09938,+,0.9987856747138211,1.5326959809256329,34.095415,Glucose-methanol-choline oxidoreductase
cgd7_2070-RA-p1,17,32.944376,0.10412,-,0.9787279860489618,1.5177812859821074,-32.944376,Uncharacterized Protein
cgd6_1450-RA-p1,18,32.31537,0.10778,+,0.9638503702541469,1.5094091328113262,32.31537,Polysaccharide pyruvyl transferase with Fringe-like domain
cgd6_4440-RA-p1,19,31.897522,0.10778,+,0.9638503702541469,1.5037569456425306,31.897522,Uncharacterized protein
cgd6_210-RA-p1,20,31.38707,0.10778,+,0.9638503702541469,1.4967507759668914,31.38707,Oocyst wall protein 9
cgd4_670-RA-p1,21,31.280965999999996,0.10778,+,0.9638503702541469,1.4952801562161875,31.280965999999996,Oocyst wall protein 3
cgd7_1800-RA-p1,22,29.603129,0.11727,+,0.9274927644711958,1.4713376176675281,29.603129,Chitin-binding type-2 domain containing protein
cgd6_4640-RA-p1,23,28.270684999999997,0.12825999999999999,+,0.888871963654876,1.4513363315923125,28.270684999999997,Uncharacterized protein
cgd6_670-RA-p1,24,26.321046000000003,0.15583,+,0.8048478664067129,1.4203031441744998,26.321046000000003,"Aspartic acid and asparagine hydroxylation/Peptidase C11, clostripain domain contining protein"
cgd3_1540-RA-p1,25,26.260156,0.15583,+,0.8048478664067129,1.4192973017130166,26.260156,Signal peptide containing protein
cgd8_3350-RA-p1,26,26.198047,0.15583,+,0.8048478664067129,1.4182689169404656,26.198047,Oocyst wall protein 4
cgd8_4230-RA-p1,27,25.56234,0.15583,+,0.8048478664067129,1.4076006070204803,25.56234,Glucose-methanol-choline oxidoreductase
cgd2_3660-RA-p1,28,24.898737,0.15964,+,0.794416741359246,1.3961773178651251,24.898737,Subtilase family
cgd6_2920-RA-p1,29,24.30903,0.1669,+,0.7752080435073185,1.3857676295939656,24.30903,Uncharacterized protein
cgd7_3110-RA-p1,30,23.778398000000003,0.17267000000000002,+,0.7605253365348158,1.3761825919480977,23.778398000000003,S1/P1 nuclease
cgd5_3980-RA-p1,31,22.478554000000003,0.2,+,0.6970200632517508,1.3517683705082755,22.478554000000003,Uncharacterized protein
cgd5_4230-RA-p1,32,22.445954999999998,0.2,+,0.6970200632517508,1.3511380879023835,22.445954999999998,EGF-like domain containing protein
cgd1_370-RA-p1,33,22.067086,0.20090999999999998,+,0.6950573175975354,1.3437449875488474,22.067086,carboxypeptidase A with signal peptide region
cgd2_490-RA-p1,34,22.045317,0.20090999999999998,+,0.6950573175975354,1.3433163481322183,22.045317,Uncharacterized protein
cgd6_3820-RA-p1,35,21.9622,0.20090999999999998,+,0.6950573175975354,1.341675842153463,21.9622,Aspartic peptidase A1 family
cgd5_3073-RA-p1,36,21.673241,0.20090999999999998,+,0.6950573175975354,1.3359238602431562,21.673241,Carboxylic ester hydrolase
cgd7_180-RA-p1,37,21.382019,0.20090999999999998,+,0.6950573175975354,1.3300487111234498,21.382019,Uncharacterized protein
cgd6_2900-RA-p1,38,21.070053,0.20090999999999998,+,0.6950573175975354,1.3236656280418255,21.070053,Exostosin-like protein
cgd4_2420-RA-p1,39,21.002129999999998,0.20090999999999998,-,0.6950573175975354,1.3222633423689913,-21.002129999999998,Sushi/SCR/CCP domain containing protein
cgd4_3310-RA-p1,40,20.872588,0.20090999999999998,-,0.6950573175975354,1.3195763007394616,-20.872588,Phosphoacetylglucosamine mutase
cgd1_3550-RA-p1,41,19.978645999999998,0.22073,+,0.6543714535436935,1.3005660517250837,19.978645999999998,Apple domain containing protein
cgd4_500-RA-p1,42,19.737609,0.22286,+,0.6502175466365292,1.2952945413934407,19.737609,Oocyst wall protein 7
cgd3_1480-RA-p1,43,19.256513,0.23465,-,0.6279168914257475,1.284577647172538,-19.256513,Pp2c protein phosphatase 2 C
cgd1_3340-RA-p1,44,18.305281,0.26682,-,0.5723191836685374,1.2625764000196658,-18.305281,HAD-superfamily hydrolase subfamily IIB
cgd3_440-RA-p1,45,18.301458,0.26682,+,0.5723191836685374,1.2624856895190473,18.301458,C-type lectin containing protein
cgd7_2583-RA-p1,46,18.300892,0.26682,+,0.5723191836685374,1.2624722581040273,18.300892,Polysaccharide pyruvyl transferase
