,id,rank,FDR,sign,log_FDR,log_rank,srank,desc
cgd6_200-RA-p1,1,13360.213718,0.0,-,3.0457574905606752,4.125813405430373,-13360.213718,Oocyst wall protein 8
cgd1_1250-RA-p1,2,10305.554789,0.0,+,3.0457574905606752,4.01307137654374,10305.554789,Uncharacterized Secreted Protein (CpLSP gene family)
cgd6_2090-RA-p1,3,9751.465951,0.0,-,3.0457574905606752,3.9890699086803916,-9751.465951,Growth factor receptor cysteine-rich domain containing protein
cgd6_210-RA-p1,4,7081.536201000001,0.0,-,3.0457574905606752,3.850127479617467,-7081.536201000001,Oocyst wall protein 9
cgd2_490-RA-p1,5,5589.359424,0.0,-,3.0457574905606752,3.747362037839358,-5589.359424,Uncharacterized protein
cgd7_1800-RA-p1,6,4720.4708310000005,0.0,-,3.0457574905606752,3.6739853183601987,-4720.4708310000005,Chitin-binding type-2 domain containing protein
cgd3_190-RA-p1,7,3826.2677259999996,0.0,-,3.0457574905606752,3.5827753545717167,-3826.2677259999996,Fibrillin/EGF-like calcium-binding conserved site-containing protein
cgd4_3090-RA-p1,8,3754.164677,0.0,-,3.0457574905606752,3.5745133190961407,-3754.164677,Oocyst wall protein 6
cgd3_3410-RA-p1,9,3722.7665009999996,0.0,+,3.0457574905606752,3.5708657972961806,3722.7665009999996,Uncharacterized protein
cgd5_3850-RA-p1,10,3215.714477,0.0,+,3.0457574905606752,3.507277480820128,3215.714477,Adapter-protein complex 1 gamma subunit
cgd6_2920-RA-p1,11,3209.312252,0.0,-,3.0457574905606752,3.5064119740986994,-3209.312252,Uncharacterized protein
cgd7_850-RA-p1,12,3068.5217420000004,0.0,-,3.0457574905606752,3.486929204822875,-3068.5217420000004,Patched family protein/Sterol-sensing domain-containing protein
cgd7_4560-RA-p1,13,2605.318359,0.0,-,3.0457574905606752,3.415860799846341,-2605.318359,Sushi/SCR/CCP/SbsA/lg-like domain containing protein
cgd6_4640-RA-p1,14,2122.064034,0.0,-,3.0457574905606752,3.326758484745938,-2122.064034,Uncharacterized protein
cgd8_2650-RA-p1,15,2120.3587989999996,0.0,+,3.0457574905606752,3.326409356797177,2120.3587989999996,Uncharacterized protein with Armadillo-type fold
cgd5_4530-RA-p1,16,2063.113601,0.0,-,3.0457574905606752,3.3145231421414088,-2063.113601,Uncharacterized protein
cgd6_4840-RA-p1,17,2044.35287,0.0,-,3.0457574905606752,3.310555860282189,-2044.35287,"Serine protease, subtilase family, signal peptide"
cgd7_4990-RA-p1,18,1653.904147,0.0,+,3.0457574905606752,3.218510336150475,1653.904147,Ubiquitin ligase with a HECT domain at the C-terminus
cgd6_3820-RA-p1,19,1542.482007,0.0,-,3.0457574905606752,3.188220106704508,-1542.482007,Aspartic peptidase A1 family
cgd6_300-RA-p1,20,1506.5089070000001,0.0,-,3.0457574905606752,3.177971703715659,-1506.5089070000001,Uncharacterized protein
cgd2_3780-RA-p1,21,1504.118985,0.0,-,3.0457574905606752,3.177282192961069,-1504.118985,Uncharacterized protein
cgd6_2470-RA-p1,22,1489.556074,0.0,-,3.0457574905606752,3.1730568567759017,-1489.556074,Sulfhydryl oxidase
cgd8_5090-RA-p1,23,1465.657496,0.0,-,3.0457574905606752,3.1660324935138338,-1465.657496,Uncharacterized protein
cgd4_500-RA-p1,24,1303.755046,0.0,-,3.0457574905606752,3.1151960023133713,-1303.755046,Oocyst wall protein 7
cgd7_3870-RA-p1,25,1263.978088,0.0,+,3.0457574905606752,3.101739545193856,1263.978088,Uncharacterized Secreted Protein (CpLSP gene family)
cgd1_370-RA-p1,26,1220.326649,0.0,-,3.0457574905606752,3.086476095322454,-1220.326649,carboxypeptidase A with signal peptide region
cgd6_670-RA-p1,27,1203.9077109999998,0.0,-,3.0457574905606752,3.0805931961081447,-1203.9077109999998,"Aspartic acid and asparagine hydroxylation/Peptidase C11, clostripain domain contining protein"
cgd8_4230-RA-p1,28,1154.947657,0.0,-,3.0457574905606752,3.062562302157878,-1154.947657,Glucose-methanol-choline oxidoreductase
cgd3_1540-RA-p1,29,1152.413676,0.0,-,3.0457574905606752,3.0616084035272335,-1152.413676,Signal peptide containing protein
cgd5_3073-RA-p1,30,1140.735753,0.0,-,3.0457574905606752,3.0571850534410854,-1140.735753,Carboxylic ester hydrolase
cgd2_2580-RA-p1,31,1135.832617,0.0,+,3.0457574905606752,3.0553143358914845,1135.832617,Uncharacterized protein
cgd1_800-RA-p1,32,1113.120178,0.0,-,3.0457574905606752,3.046542055461982,-1113.120178,Protein disulfide isomerase
cgd7_2070-RA-p1,33,1043.145078,0.0003,+,2.9208187539523753,3.0183447132139176,1043.145078,Uncharacterized Protein
cgd8_3350-RA-p1,34,1034.26334,0.0003,-,2.9208187539523753,3.0146311311639007,-1034.26334,Oocyst wall protein 4
cgd8_1270-RA-p1,35,962.902201,0.0003,+,2.9208187539523753,2.983582179416417,962.902201,Clathrin heavy chain
cgd7_3110-RA-p1,36,961.577232,0.0003,-,2.9208187539523753,2.982984171657597,-961.577232,S1/P1 nuclease
cgd6_2900-RA-p1,37,932.750567,0.0003,-,2.9208187539523753,2.9697655217116834,-932.750567,Exostosin-like protein
cgd3_3700-RA-p1,38,915.4695029999999,0.0003,-,2.9208187539523753,2.9616438812434804,-915.4695029999999,Uncharacterized protein
cgd4_3970-RA-p1,39,854.8004109999999,0.0003,+,2.9208187539523753,2.9318647223069467,854.8004109999999,Uncharacterized protein
cgd7_400-RA-p1,40,847.9032460000001,0.0003,-,2.9208187539523753,2.92834629786327,-847.9032460000001,Uncharacterized protein
cgd6_5260-RA-p1,41,829.1057950000001,0.0003,+,2.9208187539523753,2.918609950638562,829.1057950000001,ABC transporter ATpase with 2 AAA domains
cgd2_2510-RA-p1,42,822.929573,0.0003,-,2.9208187539523753,2.9153626695181876,-822.929573,Glucose-methanol-choline oxidoreductase
cgd7_5150-RA-p1,43,809.880376,0.0003,-,2.9208187539523753,2.908420875817264,-809.880376,Chitin-binding type-2 domain containing protein
cgd7_1930-RA-p1,44,802.799842,0.0003,+,2.9208187539523753,2.9046072783414383,802.799842,Creatinase/Aminopeptidase P/Spt16/cdc68p/PH-like domain-containing protein
cgd4_670-RA-p1,45,759.333762,0.0003,-,2.9208187539523753,2.8804327101957394,-759.333762,Oocyst wall protein 3
cgd6_1450-RA-p1,46,730.730349,0.0003,-,2.9208187539523753,2.8637571450207617,-730.730349,Polysaccharide pyruvyl transferase with Fringe-like domain
cgd1_3730-RA-p1,47,719.577684,0.0003,+,2.9208187539523753,2.8570776862661496,719.577684,Glucosamine-fructose-6-phosphate aminotransferase/Sugar isomerase (SIS)
cgd5_3700-RA-p1,48,714.7338,0.0003,+,2.9208187539523753,2.854144320517834,714.7338,Sec1-like protein
cgd1_3550-RA-p1,49,704.742264,0.0003,-,2.9208187539523753,2.848030317292059,-704.742264,Apple domain containing protein
cgd2_2120-RA-p1,50,681.447859,0.0003,-,2.9208187539523753,2.833432631388766,-681.447859,High mobility group box domain containing protein
cgd6_4440-RA-p1,51,674.777145,0.0003,-,2.9208187539523753,2.829160364420233,-674.777145,Uncharacterized protein
cgd8_1530-RA-p1,52,654.45474,0.0003,+,2.9208187539523753,2.815879617505699,654.45474,Ubiquitin carboxyl terminal hydrolase domain fused to a MATH domain
