# ProtRank analysis results of a dataset with 1659 rows and 3 comparisons
# comparisons in group 1: SPORO_1 vs. WALL_1 & SPORO_2 vs. WALL_2 & SPORO_3 vs. WALL_3
# FDR values computed using 100 bootstrap realizations of the data
# rank	row	rank score	FDR	signs in groups
1	cgd1_800-RA-p1	93.857207	0.01000	+
2	cgd7_5150-RA-p1	67.279057	0.04000	+
3	cgd6_4840-RA-p1	65.097189	0.04000	+
4	cgd6_2090-RA-p1	62.289538	0.04000	+
5	cgd4_3090-RA-p1	56.644123	0.04000	+
6	cgd8_600-RA-p1	55.154359	0.04000	+
7	cgd7_4560-RA-p1	53.858537	0.04000	+
8	cgd7_850-RA-p1	52.503351	0.04000	+
9	cgd6_200-RA-p1	48.909501	0.04000	+
10	cgd3_190-RA-p1	47.503255	0.04000	+
11	cgd6_2470-RA-p1	46.831046	0.04000	+
12	cgd8_5090-RA-p1	45.649063	0.04000	+
13	cgd3_3700-RA-p1	39.920146	0.06231	+
14	cgd6_300-RA-p1	39.351815	0.06429	+
15	cgd2_3320-RA-p1	38.635797	0.06429	+
16	cgd2_2510-RA-p1	34.095415	0.09938	+
17	cgd7_2070-RA-p1	32.944376	0.10412	-
18	cgd6_1450-RA-p1	32.315370	0.10778	+
19	cgd6_4440-RA-p1	31.897522	0.10778	+
20	cgd6_210-RA-p1	31.387070	0.10778	+
21	cgd4_670-RA-p1	31.280966	0.10778	+
22	cgd7_1800-RA-p1	29.603129	0.11727	+
23	cgd6_4640-RA-p1	28.270685	0.12826	+
24	cgd6_670-RA-p1	26.321046	0.15583	+
25	cgd3_1540-RA-p1	26.260156	0.15583	+
26	cgd8_3350-RA-p1	26.198047	0.15583	+
27	cgd8_4230-RA-p1	25.562340	0.15583	+
28	cgd2_3660-RA-p1	24.898737	0.15964	+
29	cgd6_2920-RA-p1	24.309030	0.16690	+
30	cgd7_3110-RA-p1	23.778398	0.17267	+
31	cgd5_3980-RA-p1	22.478554	0.20000	+
32	cgd5_4230-RA-p1	22.445955	0.20000	+
33	cgd1_370-RA-p1	22.067086	0.20091	+
34	cgd2_490-RA-p1	22.045317	0.20091	+
35	cgd6_3820-RA-p1	21.962200	0.20091	+
36	cgd5_3073-RA-p1	21.673241	0.20091	+
37	cgd7_180-RA-p1	21.382019	0.20091	+
38	cgd6_2900-RA-p1	21.070053	0.20091	+
39	cgd4_2420-RA-p1	21.002130	0.20091	-
40	cgd4_3310-RA-p1	20.872588	0.20091	-
41	cgd1_3550-RA-p1	19.978646	0.22073	+
42	cgd4_500-RA-p1	19.737609	0.22286	+
43	cgd3_1480-RA-p1	19.256513	0.23465	-
44	cgd1_3340-RA-p1	18.305281	0.26682	-
45	cgd3_440-RA-p1	18.301458	0.26682	+
46	cgd7_2583-RA-p1	18.300892	0.26682	+
47	cgd8_2800-RA-p1	18.075075	0.26682	+
48	cgd2_2480-RA-p1	17.815769	0.26682	-
49	cgd1_3560-RA-p1	17.787970	0.26682	+
50	cgd5_1140-RA-p1	17.440765	0.26960	-
51	cgd6_3930-RA-p1	15.832932	0.35059	+
52	cgd5_1210-RA-p1	15.775955	0.35059	+
53	cgd1_3840-RA-p1	15.557289	0.35189	+
54	cgd8_1160-RA-p1	15.451247	0.35189	+
55	cgd6_750-RA-p1	15.042074	0.37200	-
56	cgd4_2590-RA-p1	14.639594	0.39000	-
57	cgd6_4610-RA-p1	14.360312	0.40070	-
58	cgd2_850-RA-p1	14.037005	0.41776	+
59	cgd6_20-RA-p1	13.337557	0.46475	-
60	cgd3_1460-RA-p1	13.095142	0.47900	-
61	cgd7_5280-RA-p1	12.938351	0.48443	-
62	cgd7_3980-RA-p1	12.751115	0.49323	-
63	cgd6_4970-RA-p1	12.596918	0.49905	-
64	cgd3_1780-RA-p1	12.358244	0.51609	+
65	cgd2_660-RA-p1	12.208072	0.59569	-
66	cgd6_3840-RA-p1	12.208072	0.59569	-
67	cgd6_4200-RA-p1	12.208072	0.59569	-
68	cgd4_810-RA-p1	12.208072	0.59569	-
69	cgd1_1620-RA-p1	12.208072	0.59569	-
70	cgd7_1300-RA-p1	12.208072	0.59569	-
71	cgd3_3940-RA-p1	12.208072	0.59569	-
72	cgd3_2010-RA-p1	12.208072	0.59569	-
73	cgd3_350-RA-p1	12.208072	0.59569	-
74	cgd1_3820-RA-p1	12.208072	0.59569	+
75	cgd5_790-RA-p1	12.208072	0.59569	+
76	cgd3_2130-RA-p1	12.208072	0.59569	+
77	cgd8_1220-RA-p1	12.208072	0.59569	+
78	cgd6_3730-RA-p1	12.208072	0.59569	+
79	cgd6_1990-RA-p1	12.208072	0.59569	+
80	cgd5_3243-RA-p1	12.208072	0.59569	+
81	cgd5_4530-RA-p1	12.208072	0.59569	+
82	cgd4_3550-RA-p1	11.857639	0.59569	+
83	cgd7_4310-RA-p1	11.559823	0.59569	+
84	cgd6_1150-RA-p1	11.302745	0.59569	-
85	cgd5_3420-RA-p1	11.149744	0.59569	+
86	cgd1_1433-RA-p1	10.695393	0.59569	-
87	cgd5_3700-RA-p1	10.405187	0.60908	-
88	cgd7_2050-RA-p1	10.373600	0.60908	-
89	cgd7_3250-RA-p1	10.257556	0.61000	-
90	cgd1_1710-RA-p1	9.881753	0.64600	-
91	cgd4_2120-RA-p1	9.847068	0.64600	-
92	cgd2_3210-RA-p1	9.585609	0.67098	-
93	cgd8_420-RA-p1	9.584701	0.67098	-
94	cgd6_5360-RA-p1	9.174175	0.71032	-
95	cgd8_3600-RA-p1	9.128865	0.71063	-
96	cgd5_3260-RA-p1	9.060206	0.71156	+
97	cgd4_3480-RA-p1	8.925236	0.72505	-
