,id,rank,FDR,sign,log_FDR,log_rank,srank,desc
cgd6_200-RA-p1,1,12541.852037,0.0,-,3.0457574905606752,4.098361672863069,-12541.852037,Oocyst wall protein 8
cgd6_2090-RA-p1,2,12091.14957,0.0,-,3.0457574905606752,4.0824675935136705,-12091.14957,Growth factor receptor cysteine-rich domain containing protein
cgd2_490-RA-p1,3,6573.067891,0.0,-,3.0457574905606752,3.8177681179846736,-6573.067891,Uncharacterized protein
cgd3_190-RA-p1,4,4506.0409,0.0,-,3.0457574905606752,3.653795129368215,-4506.0409,Fibrillin/EGF-like calcium-binding conserved site-containing protein
cgd2_1120-RA-p1,5,3742.927033,0.0,+,3.0457574905606752,3.573211360784114,3742.927033,molybdopterin synthase sulphurylase/Rhodanese-like domain containing protein
cgd6_210-RA-p1,6,3629.733883,0.0,-,3.0457574905606752,3.559874785537157,-3629.733883,Oocyst wall protein 9
cgd7_850-RA-p1,7,3296.2773429999997,0.0,-,3.0457574905606752,3.518023745339152,-3296.2773429999997,Patched family protein/Sterol-sensing domain-containing protein
cgd2_2510-RA-p1,8,3243.6546719999997,0.0,-,3.0457574905606752,3.511034611868379,-3243.6546719999997,Glucose-methanol-choline oxidoreductase
cgd3_3410-RA-p1,9,3034.863336,0.0,+,3.0457574905606752,3.482139138983792,3034.863336,Uncharacterized protein
cgd6_5260-RA-p1,10,2989.825803,0.0,+,3.0457574905606752,3.4756458856489414,2989.825803,ABC transporter ATpase with 2 AAA domains
cgd6_2470-RA-p1,11,2927.689021,0.0,-,3.0457574905606752,3.466524944095275,-2927.689021,Sulfhydryl oxidase
cgd2_2580-RA-p1,12,2773.5060829999998,0.0,+,3.0457574905606752,3.44302912273349,2773.5060829999998,Uncharacterized protein
cgd7_1930-RA-p1,13,2427.246039,0.0,+,3.0457574905606752,3.385113801039074,2427.246039,Creatinase/Aminopeptidase P/Spt16/cdc68p/PH-like domain-containing protein
cgd1_1060-RA-p1,14,2373.689264,0.0,+,3.0457574905606752,3.375423865518803,2373.689264,Uncharacterized protein with Armadillo-type fold
cgd6_2060-RA-p1,15,2312.4268030000003,0.0,+,3.0457574905606752,3.36406799457591,2312.4268030000003,"Cdc39p protein-like C-terminal Not1, CCR4-Not complex component Not1"
cgd5_3850-RA-p1,16,2281.1205800000002,0.0,+,3.0457574905606752,3.3581482426832854,2281.1205800000002,Adapter-protein complex 1 gamma subunit
cgd7_1800-RA-p1,17,2237.416584,0.0,-,3.0457574905606752,3.349746852799655,-2237.416584,Chitin-binding type-2 domain containing protein
cgd6_4640-RA-p1,18,2205.586855,0.0,-,3.0457574905606752,3.3435241647689287,-2205.586855,Uncharacterized protein
cgd1_1250-RA-p1,19,2085.125454,0.0,+,3.0457574905606752,3.319132189928891,2085.125454,Uncharacterized Secreted Protein (CpLSP gene family)
cgd8_2650-RA-p1,20,2049.4328739999996,0.0,+,3.0457574905606752,3.31163369824227,2049.4328739999996,Uncharacterized protein with Armadillo-type fold
cgd6_2920-RA-p1,21,1766.812771,0.0,-,3.0457574905606752,3.2471905297955357,-1766.812771,Uncharacterized protein
cgd8_1270-RA-p1,22,1519.852353,0.0,+,3.0457574905606752,3.1818014001869646,1519.852353,Clathrin heavy chain
cgd8_4230-RA-p1,23,1393.992373,0.0,-,3.0457574905606752,3.1442603975976615,-1393.992373,Glucose-methanol-choline oxidoreductase
cgd4_3090-RA-p1,24,1380.664182,0.0,-,3.0457574905606752,3.140088058274763,-1380.664182,Oocyst wall protein 6
cgd6_3820-RA-p1,25,1360.733092,0.0,-,3.0457574905606752,3.133772946629221,-1360.733092,Aspartic peptidase A1 family
cgd1_750-RA-p1,26,1272.5670929999999,0.0,+,3.0457574905606752,3.10468068873103,1272.5670929999999,Dynein heavy chain
cgd7_180-RA-p1,27,1197.8066390000001,0.0,-,3.0457574905606752,3.0783867158888434,-1197.8066390000001,Uncharacterized protein
cgd1_1240-RA-p1,28,1193.4112710000002,0.0,+,3.0457574905606752,3.0767901351588174,1193.4112710000002,Sec14 domain containing protein
cgd3_2360-RA-p1,29,1181.404126,0.0,+,3.0457574905606752,3.0723984832780706,1181.404126,Peptidase S59 nucleoporin
cgd5_3073-RA-p1,30,1162.5637390000002,0.0,-,3.0457574905606752,3.0654167729487716,-1162.5637390000002,Carboxylic ester hydrolase
cgd1_370-RA-p1,31,1152.804351,0.0,-,3.0457574905606752,3.06175560695559,-1152.804351,carboxypeptidase A with signal peptide region
cgd7_3110-RA-p1,32,1110.358219,0.0,-,3.0457574905606752,3.0454631116130018,-1110.358219,S1/P1 nuclease
cgd3_1540-RA-p1,33,1009.50723,0.0,-,3.0457574905606752,3.004109433668821,-1009.50723,Signal peptide containing protein
cgd7_4560-RA-p1,34,981.850702,0.0,-,3.0457574905606752,2.992045454969263,-981.850702,Sushi/SCR/CCP/SbsA/lg-like domain containing protein
cgd7_400-RA-p1,35,972.916857,0.0,-,3.0457574905606752,2.988075728152281,-972.916857,Uncharacterized protein
