# ProtRank analysis results of a dataset with 1301 rows and 3 comparisons
# comparisons in group 1: WALL1 vs. SPORO1 & WALL2 vs. SPORO2 & WALL3 vs. SPORO3
# FDR values computed using 100 bootstrap realizations of the data
# rank	row	rank score	FDR	signs in groups
1	cgd6_2090-RA-p1	405.557225	0.00000	-
2	cgd6_200-RA-p1	250.453868	0.00000	-
3	cgd1_750-RA-p1	173.106989	0.00000	+
4	cgd3_3410-RA-p1	171.435597	0.00000	+
5	cgd1_1250-RA-p1	170.798921	0.00000	+
6	cgd2_490-RA-p1	164.506728	0.00000	-
7	cgd3_190-RA-p1	142.113960	0.00000	-
8	cgd6_3330-RA-p1	125.310126	0.00000	+
9	cgd6_5260-RA-p1	115.279349	0.00000	+
10	cgd7_400-RA-p1	103.743950	0.00100	-
11	cgd6_2060-RA-p1	95.927964	0.00182	+
12	cgd2_2950-RA-p1	92.880341	0.00182	+
13	cgd8_1270-RA-p1	85.835248	0.00182	+
14	cgd3_1220-RA-p1	78.816112	0.00214	-
15	cgd6_2470-RA-p1	74.860909	0.00267	-
16	cgd8_2650-RA-p1	70.818000	0.00375	+
17	cgd5_4110-RA-p1	69.775119	0.00412	-
18	cgd4_3550-RA-p1	66.727297	0.00556	-
19	cgd7_850-RA-p1	65.472117	0.00556	-
20	cgd6_4550-RA-p1	61.531027	0.00556	+
21	cgd5_1490-RA-p1	54.617668	0.00905	+
22	cgd7_1970-RA-p1	54.324668	0.00905	+
23	cgd3_1580-RA-p1	53.697375	0.00905	+
24	cgd4_3630-RA-p1	53.298060	0.00958	-
25	cgd8_500-RA-p1	53.165746	0.00960	-
26	cgd6_2430-RA-p1	52.430823	0.00962	-
27	cgd7_2620-RA-p1	51.241445	0.01037	+
28	cgd5_3073-RA-p1	51.098537	0.01037	-
29	cgd1_1060-RA-p1	50.833740	0.01037	+
30	cgd3_2360-RA-p1	50.779811	0.01037	+
31	cgd2_920-RA-p1	49.537417	0.01037	+
32	cgd3_1940-RA-p1	49.180678	0.01037	-
33	cgd1_3210-RA-p1	49.107659	0.01037	+
34	cgd6_5330-RA-p1	48.295035	0.01037	+
35	cgd5_3850-RA-p1	48.186635	0.01037	+
36	cgd2_3913-RA-p1	46.134129	0.01167	-
37	cgd2_1120-RA-p1	45.965210	0.01167	+
38	cgd5_3450-RA-p1	45.310644	0.01167	-
39	cgd8_690-RA-p1	42.590616	0.01590	+
40	cgd6_2210-RA-p1	39.199218	0.02150	-
41	cgd8_3330-RA-p1	38.271757	0.02268	-
42	cgd7_4340-RA-p1	38.142548	0.02268	+
43	cgd8_4240-RA-p1	37.315701	0.02279	+
44	cgd3_1730-RA-p1	36.222737	0.02386	-
45	cgd8_5090-RA-p1	35.020616	0.02822	-
46	cgd4_3310-RA-p1	33.680984	0.03043	+
47	cgd6_3820-RA-p1	33.443318	0.03191	-
48	cgd6_5380-RA-p1	33.145246	0.03229	+
49	cgd4_210-RA-p1	32.189958	0.03490	-
50	cgd5_3740-RA-p1	31.472848	0.03680	-
51	cgd4_3090-RA-p1	30.675031	0.03902	-
52	cgd3_660-RA-p1	30.324774	0.04019	-
53	cgd6_1450-RA-p1	30.219644	0.04019	-
54	cgd3_1400-RA-p1	30.160302	0.04019	+
55	cgd2_130-RA-p1	29.030198	0.04145	-
56	cgd3_550-RA-p1	28.485263	0.04625	-
57	cgd2_2580-RA-p1	28.117205	0.04912	+
58	cgd3_1540-RA-p1	28.049586	0.04912	-
59	cgd2_2200-RA-p1	27.966277	0.04912	-
60	cgd7_3800-RA-p1	27.848091	0.04912	+
61	cgd2_1690-RA-p1	26.700320	0.05623	-
62	cgd4_2120-RA-p1	26.421385	0.05726	+
63	cgd2_1440-RA-p1	25.849182	0.05937	-
64	cgd2_850-RA-p1	25.680174	0.06078	-
65	cgd6_313-RA-p1	25.640254	0.06078	-
66	cgd7_3810-RA-p1	25.352429	0.06182	+
67	cgd8_4390-RA-p1	25.079117	0.06313	-
68	cgd7_2820-RA-p1	24.850300	0.06338	+
69	cgd4_3970-RA-p1	24.512180	0.06565	+
70	cgd6_1660-RA-p1	24.283313	0.06729	-
71	cgd8_2530-RA-p1	24.157549	0.06729	-
72	cgd4_450-RA-p1	23.720322	0.07097	+
73	cgd5_1470-RA-p1	23.377565	0.07370	-
74	cgd4_1133-RA-p1	23.317679	0.07378	-
75	cgd7_5140-RA-p1	23.279197	0.07400	-
76	cgd4_3770-RA-p1	23.276594	0.07400	+
77	cgd8_680-RA-p1	23.235838	0.07400	+
78	cgd4_1650-RA-p1	23.223816	0.07400	-
79	cgd3_590-RA-p1	23.105296	0.07400	+
80	cgd8_1530-RA-p1	22.796552	0.07475	+
81	cgd4_850-RA-p1	22.622973	0.07568	+
82	cgd5_70-RA-p1	22.053790	0.08122	+
83	cgd8_1930-RA-p1	22.035462	0.08122	+
84	cgd7_2530-RA-p1	21.874283	0.08122	+
85	cgd5_1760-RA-p1	21.699753	0.08176	-
86	cgd1_1870-RA-p1	21.560642	0.08291	-
87	cgd2_3780-RA-p1	21.426215	0.08379	-
88	cgd1_590-RA-p1	21.228394	0.08523	+
89	cgd7_2583-RA-p1	21.204064	0.08523	-
90	cgd1_2560-RA-p1	21.037355	0.08589	-
91	cgd2_2120-RA-p1	21.014941	0.08589	-
92	cgd5_2720-RA-p1	20.995753	0.08589	+
93	cgd2_1960-RA-p1	20.777284	0.08589	+
94	cgd2_120-RA-p1	20.754972	0.08589	-
95	cgd6_1870-RA-p1	20.503613	0.08589	-
96	cgd2_2110-RA-p1	20.230891	0.08937	-
97	cgd1_440-RA-p1	20.134555	0.08959	-
98	cgd5_1310-RA-p1	19.784276	0.09265	+
99	cgd4_530-RA-p1	19.737312	0.09265	-
100	cgd4_2780-RA-p1	19.719192	0.09265	-
101	cgd3_2250-RA-p1	19.685438	0.09265	-
102	cgd8_600-RA-p1	19.558063	0.09265	-
103	cgd2_4370-RA-p1	19.471440	0.09265	-
104	cgd2_1570-RA-p1	19.449093	0.09265	-
105	cgd6_5430-RA-p1	19.050869	0.09590	-
106	cgd7_3870-RA-p1	18.844720	0.09811	+
107	cgd3_650-RA-p1	18.807941	0.09811	+
108	cgd7_1930-RA-p1	18.773714	0.09811	+
109	cgd1_3730-RA-p1	18.768919	0.09811	+
110	cgd6_410-RA-p1	18.715506	0.09811	-
111	cgd3_4030-RA-p1	18.645240	0.09811	-
112	cgd6_2040-RA-p1	18.479542	0.09866	+
113	cgd2_2340-RA-p1	18.448307	0.09866	+
114	cgd8_3940-RA-p1	18.425775	0.09866	+
115	cgd4_2390-RA-p1	18.369458	0.09866	+
116	cgd2_2100-RA-p1	18.136351	0.09905	-
117	cgd2_1370-RA-p1	17.623092	0.10564	+
118	cgd1_570-RA-p1	17.601268	0.10564	-
119	cgd3_3060-RA-p1	17.412672	0.10798	+
120	cgd5_1780-RA-p1	17.282937	0.10942	+
121	cgd7_2680-RA-p1	17.183423	0.11066	+
122	cgd1_260-RA-p1	16.986422	0.11426	-
123	cgd3_3370-RA-p1	16.744699	0.11935	+
124	cgd1_3140-RA-p1	16.690216	0.11935	-
125	cgd6_2690-RA-p1	16.678980	0.11935	-
126	cgd3_3850-RA-p1	16.497432	0.12206	+
127	cgd5_2300-RA-p1	16.253012	0.12543	-
128	cgd4_2590-RA-p1	16.045448	0.12914	+
129	cgd1_660-RA-p1	15.851032	0.13194	-
130	cgd4_740-RA-p1	15.695145	0.13446	-
131	cgd7_1793-RA-p1	15.533029	0.13756	-
132	cgd1_1900-RA-p1	15.480982	0.13756	-
133	cgd2_1070-RA-p1	15.479225	0.13756	-
134	cgd5_1330-RA-p1	15.457563	0.13756	-
135	cgd3_3750-RA-p1	15.448751	0.13756	-
136	cgd8_5300-RA-p1	15.236854	0.13801	-
