,id,rank,FDR,sign,log_FDR,log_rank,srank,desc
cgd6_2090-RA-p1,1,405.557225,0.0,-,3.0457574905606752,2.6080521427599335,-405.557225,Growth factor receptor cysteine-rich domain containing protein
cgd6_200-RA-p1,2,250.45386800000003,0.0,-,3.0457574905606752,2.398727743304767,-250.45386800000003,Oocyst wall protein 8
cgd1_750-RA-p1,3,173.106989,0.0,+,3.0457574905606752,2.2383146023806515,173.106989,Dynein heavy chain
cgd3_3410-RA-p1,4,171.435597,0.0,+,3.0457574905606752,2.2341010041422695,171.435597,Uncharacterized protein
cgd1_1250-RA-p1,5,170.798921,0.0,+,3.0457574905606752,2.2324851227626694,170.798921,Uncharacterized Secreted Protein (CpLSP gene family)
cgd2_490-RA-p1,6,164.506728,0.0,-,3.0457574905606752,2.216183664435068,-164.506728,Uncharacterized protein
cgd3_190-RA-p1,7,142.11396000000002,0.0,-,3.0457574905606752,2.152636741215172,-142.11396000000002,Fibrillin/EGF-like calcium-binding conserved site-containing protein
cgd6_3330-RA-p1,8,125.310126,0.0,+,3.0457574905606752,2.0979861666704207,125.310126,SPX/VTC domain containing protein
cgd6_5260-RA-p1,9,115.279349,0.0,+,3.0457574905606752,2.061751515285929,115.279349,ABC transporter ATpase with 2 AAA domains
cgd7_400-RA-p1,10,103.74395,0.001,-,2.721246399047171,2.0159627795217014,-103.74395,Uncharacterized protein
cgd6_2060-RA-p1,11,95.927964,0.00182,+,2.5654310959658013,1.9819452269890125,95.927964,"Cdc39p protein-like C-terminal Not1, CCR4-Not complex component Not1"
cgd2_2950-RA-p1,12,92.880341,0.00182,+,2.5654310959658013,1.967923801198072,92.880341,RING/Armadillo-type fold domain containing protein
cgd8_1270-RA-p1,13,85.83524799999999,0.00182,+,2.5654310959658013,1.9336656662679603,85.83524799999999,Clathrin heavy chain
cgd3_1220-RA-p1,14,78.816112,0.00214,-,2.517126416391246,1.8966150073046066,-78.816112,Hyaluronan/mRNA-binding protein
cgd6_2470-RA-p1,15,74.86090899999999,0.00267,-,2.447331783887807,1.8742550962393605,-74.86090899999999,Sulfhydryl oxidase
cgd8_2650-RA-p1,16,70.818,0.00375,+,2.332547047110046,1.8501436575078198,70.818,Uncharacterized protein with Armadillo-type fold
cgd5_4110-RA-p1,17,69.77511899999999,0.00412,-,2.2992962828549808,1.8437005858414177,-69.77511899999999,EF-hand domain containing protein
cgd4_3550-RA-p1,18,66.727297,0.00556,-,2.1897674820049158,1.8243035327368722,-66.727297,Secreted Kazal domain-containing protein
cgd7_850-RA-p1,19,65.472117,0.00556,-,2.1897674820049158,1.8160563837897818,-65.472117,Patched family protein/Sterol-sensing domain-containing protein
cgd6_4550-RA-p1,20,61.531027,0.00556,+,2.1897674820049158,1.789094163856283,61.531027,Ubiquitinyl hydrolase
cgd5_1490-RA-p1,21,54.617668,0.00905,+,2.0021769192542744,1.737333153212125,54.617668,Uncharacterized Secreted Protein
cgd7_1970-RA-p1,22,54.324668,0.00905,+,2.0021769192542744,1.734997080851585,54.324668,NPL4 Nuclear pore localisation protein Npl4 /Ubiquitin-like domain containing protein
cgd3_1580-RA-p1,23,53.697375,0.00905,+,2.0021769192542744,1.7299530557017977,53.697375,Alpha glucosidase-like faimly 31 glycosyl hydrolases
cgd4_3630-RA-p1,24,53.29806,0.00958,-,1.9796387173522922,1.7267114013975218,-53.29806,Uncharacterized protein
cgd8_500-RA-p1,25,53.165746,0.0096,-,1.978810700930062,1.7256319120983339,-53.165746,EF-hand calcium-binding domain containing protein
cgd6_2430-RA-p1,26,52.430823,0.00962,-,1.9779842601822797,1.7195866748328035,-52.430823,Nascent polypeptide-associated complex subunit beta
cgd7_2620-RA-p1,27,51.241445,0.01037,+,1.9480760839538935,1.7096213682755719,51.241445,ClpB Atpase/signal peptide containing protein
cgd5_3073-RA-p1,28,51.098537,0.01037,-,1.9480760839538935,1.7084084660462078,-51.098537,Carboxylic ester hydrolase
cgd1_1060-RA-p1,29,50.83374,0.01037,+,1.9480760839538935,1.7061520633051002,50.83374,Uncharacterized protein with Armadillo-type fold
cgd3_2360-RA-p1,30,50.779810999999995,0.01037,+,1.9480760839538935,1.7056910801176595,50.779810999999995,Peptidase S59 nucleoporin
cgd2_920-RA-p1,31,49.537417,0.01037,+,1.9480760839538935,1.6949333576819443,49.537417,Peptidase M16(Insulinase)
cgd3_1940-RA-p1,32,49.180678,0.01037,-,1.9480760839538935,1.6917945115850708,-49.180678,Translationally controlled tumour protein associated protein
cgd1_3210-RA-p1,33,49.107659000000005,0.01037,+,1.9480760839538935,1.6911492314719665,49.107659000000005,Uncharacterized protein
cgd6_5330-RA-p1,34,48.295035,0.01037,+,1.9480760839538935,1.6839024851420448,48.295035,Uncharacterized protein
cgd5_3850-RA-p1,35,48.186634999999995,0.01037,+,1.9480760839538935,1.6829265994293021,48.186634999999995,Adapter-protein complex 1 gamma subunit
cgd2_3913-RA-p1,36,46.134128999999994,0.01167,-,1.9006647223140423,1.6640223256611104,-46.134128999999994,Uncharacterized protein
cgd2_1120-RA-p1,37,45.96521,0.01167,+,1.9006647223140423,1.6624292486066015,45.96521,molybdopterin synthase sulphurylase/Rhodanese-like domain containing protein
cgd5_3450-RA-p1,38,45.310644,0.01167,-,1.9006647223140423,1.6562002348487677,-45.310644,Nascent polypeptide-associated complex subunit alpha
cgd8_690-RA-p1,39,42.590616,0.0159,+,1.7746907182741372,1.629313921441821,42.590616,Uncharacterized protein
cgd6_2210-RA-p1,40,39.199218,0.0215,-,1.6497519816658373,1.5932774032022834,-39.199218,Uncharacterized transmembrane Protein
cgd8_3330-RA-p1,41,38.271757,0.022680000000000002,-,1.6274561992409295,1.582878400502238,-38.271757,Translation initiation factor 1A
cgd7_4340-RA-p1,42,38.142548,0.022680000000000002,+,1.6274561992409295,1.5814097014362083,38.142548,Uncharacterized Secreted Protein
cgd8_4240-RA-p1,43,37.315701000000004,0.02279,+,1.625434939277235,1.5718916045406897,37.315701000000004,Cleavage/polyadenylation specificity factor subunit A
cgd3_1730-RA-p1,44,36.222737,0.02386,-,1.6062493596519196,1.5589812626287285,-36.222737,Uncharacterized protein
cgd8_5090-RA-p1,45,35.020616,0.02822,-,1.5358086293590005,1.5443237808978556,-35.020616,Uncharacterized protein
cgd4_3310-RA-p1,46,33.680984,0.030430000000000002,+,1.5040396051182947,1.5273847710558666,33.680984,Phosphoacetylglucosamine mutase
cgd6_3820-RA-p1,47,33.443318,0.03191,-,1.4839937696139522,1.5243093584083192,-33.443318,Aspartic peptidase A1 family
cgd6_5380-RA-p1,48,33.145246,0.03229,+,1.478992747591396,1.520421246646537,33.145246,Uncharacterized protein
cgd4_210-RA-p1,49,32.189958000000004,0.0349,-,1.4461169733561257,1.5077204100382031,-32.189958000000004,Ubiquitin-conjugating enzyme E2
cgd5_3740-RA-p1,50,31.472848,0.0368,-,1.4236586497942072,1.4979360443024838,-31.472848,50S ribosomal protein L7e/L30e/S12e/Gadd45
cgd4_3090-RA-p1,51,30.675031,0.03902,-,1.3988094673846665,1.486785010294629,-30.675031,Oocyst wall protein 6
cgd3_660-RA-p1,52,30.324773999999998,0.04019,-,1.3862638587381289,1.4817975729048545,-30.324773999999998,Uncharacterized protein
cgd6_1450-RA-p1,53,30.219644,0.04019,-,1.3862638587381289,1.4802893438631577,-30.219644,Polysaccharide pyruvyl transferase with Fringe-like domain
cgd3_1400-RA-p1,54,30.160302,0.04019,+,1.3862638587381289,1.479435685880657,30.160302,Pyrophosphate--fructose 6-phosphate 1-phosphotransferase
cgd2_130-RA-p1,55,29.030198,0.04145,-,1.3731465853332743,1.4628499979403258,-29.030198,60S acidic ribosomal protein LP2
cgd3_550-RA-p1,56,28.485263,0.04625,-,1.3265183029266527,1.4546202335845702,-28.485263,Major Facilitator Superfamily
cgd2_2580-RA-p1,57,28.117205,0.04912,+,1.3008563126055164,1.4489721473077204,28.117205,Uncharacterized protein
cgd3_1540-RA-p1,58,28.049585999999998,0.04912,-,1.3008563126055164,1.4479264556370155,-28.049585999999998,Signal peptide containing protein
cgd2_2200-RA-p1,59,27.966277,0.04912,-,1.3008563126055164,1.4466346549316091,-27.966277,Ribosomal protein L37
cgd7_3800-RA-p1,60,27.848090999999997,0.04912,+,1.3008563126055164,1.4447954294349967,27.848090999999997,Uncharacterized Secreted Protein (CpLSP gene family)
cgd2_1690-RA-p1,61,26.70032,0.056229999999999995,-,1.243135775939451,1.4265164663608827,-26.70032,Uncharacterized protein
cgd4_2120-RA-p1,62,26.421384999999997,0.057260000000000005,+,1.2353756021490185,1.4219555794439893,26.421384999999997,PX domain containing protein
cgd2_1440-RA-p1,63,25.849182,0.059370000000000006,-,1.2198988085320883,1.4124468043542497,-25.849182,Proteasome subunit alpha type
cgd2_850-RA-p1,64,25.680173999999997,0.060779999999999994,-,1.2098556349570995,1.4095979620363732,-25.680173999999997,Uncharacterized protein
cgd6_313-RA-p1,65,25.640254000000002,0.060779999999999994,-,1.2098556349570995,1.4089223231186994,-25.640254000000002,Uncharacterized protein
cgd7_3810-RA-p1,66,25.352429,0.06182000000000001,+,1.2025939503236178,1.404019575139186,25.352429,Uncharacterized protein
cgd8_4390-RA-p1,67,25.079117,0.06312999999999999,-,1.1936164981758324,1.3993122415375316,-25.079117,Uncharacterized protein
cgd7_2820-RA-p1,68,24.8503,0.06337999999999999,+,1.191924131908693,1.3953316360294366,24.8503,Uncharacterized protein
cgd4_3970-RA-p1,69,24.512179999999997,0.06565,+,1.176851940189306,1.3893819371137255,24.512179999999997,Uncharacterized protein
cgd6_1660-RA-p1,70,24.283313,0.06729,-,1.1662793095553667,1.3853079377353583,-24.283313,Uncharacterized protein with Thrombospondin type-1 (TSP1) repeat
cgd8_2530-RA-p1,71,24.157549,0.06729,-,1.1662793095553667,1.383052869114135,-24.157549,Sushi/SCR/CCP domain containing protein
cgd4_450-RA-p1,72,23.720322,0.07097,+,1.143452355143252,1.3751205802181101,23.720322,Proteasome activator Blm10 mid region-containing protein
cgd5_1470-RA-p1,73,23.377565,0.0737,-,1.1272611725273312,1.368799273201513,-23.377565,Nucleoside diphosphate kinase
cgd4_1133-RA-p1,74,23.317679000000002,0.07378,-,1.1267956907229593,1.367685319343496,-23.317679000000002,Uncharacterized protein
cgd7_5140-RA-p1,75,23.279197,0.074,-,1.1255181823005336,1.3669679955447045,-23.279197,Uncharacterized Protein
cgd4_3770-RA-p1,76,23.276594,0.074,+,1.1255181823005336,1.3669194315094562,23.276594,Eukaryotic translation initiation factor 3 subunit C
cgd8_680-RA-p1,77,23.235838,0.074,+,1.1255181823005336,1.3661583399185255,23.235838,Uncharacterized protein
cgd4_1650-RA-p1,78,23.223816,0.074,-,1.1255181823005336,1.3659335819649698,-23.223816,Thioredoxin
cgd3_590-RA-p1,79,23.105296,0.074,+,1.1255181823005336,1.3637115366003723,23.105296,Uncharacterized protein
cgd8_1530-RA-p1,80,22.796552,0.07475,+,1.1211910676407946,1.357869164517425,22.796552,Ubiquitin carboxyl terminal hydrolase domain fused to a MATH domain
cgd4_850-RA-p1,81,22.622973,0.07568,+,1.1158846379883312,1.3545496771876768,22.622973,Uncharacterized Secreted Protein (CpLSP gene family)
cgd5_70-RA-p1,82,22.05379,0.08122,+,1.0855510593014457,1.343483234830874,22.05379,Phosphoenolpyruvate carboxylase
cgd8_1930-RA-p1,83,22.035462,0.08122,+,1.0855510593014457,1.3431221604482637,22.035462,CLASP-N/GCN1 domain containg protein
cgd7_2530-RA-p1,84,21.874283,0.08122,+,1.0855510593014457,1.3399338265287801,21.874283,Signal peptide containing protein
cgd5_1760-RA-p1,85,21.699753,0.08176,-,1.0827045990543107,1.3364547904684587,-21.699753,H/ACA ribonucleoprotein complex subunit
cgd1_1870-RA-p1,86,21.560642,0.08291,-,1.0767041593444961,1.333661688467681,-21.560642,Uncharacterized protein
cgd2_3780-RA-p1,87,21.426215,0.08379,-,1.0721678671334183,1.3309454584988158,-21.426215,Uncharacterized protein
cgd1_590-RA-p1,88,21.228394,0.08523,+,1.0648455527838316,1.3269171395583437,21.228394,Uncharacterized protein
cgd7_2583-RA-p1,89,21.204064000000002,0.08523,-,1.0648455527838316,1.3264191063827655,-21.204064000000002,Polysaccharide pyruvyl transferase
cgd1_2560-RA-p1,90,21.037354999999998,0.08589,-,1.0615303116323547,1.3229911356188466,-21.037354999999998,Tom40p like translocase
cgd2_2120-RA-p1,91,21.014941,0.08589,-,1.0615303116323547,1.3225281750499782,-21.014941,High mobility group box domain containing protein
cgd5_2720-RA-p1,92,20.995753,0.08589,+,1.0615303116323547,1.3221314549625534,20.995753,Uncharacterized Secreted Protein
cgd2_1960-RA-p1,93,20.777283999999998,0.08589,+,1.0615303116323547,1.317588776093907,20.777283999999998,Mitogen-activated protein kinase
cgd2_120-RA-p1,94,20.754972,0.08589,-,1.0615303116323547,1.3171221518193952,-20.754972,60S ribosomal protein L29
cgd6_1870-RA-p1,95,20.503613,0.08589,-,1.0615303116323547,1.3118303960658364,-20.503613,Signal recognition particle SRP19 subunit
cgd2_2110-RA-p1,96,20.230891,0.08937,-,1.044456557540257,1.3060150101984946,-20.230891,Uncharacterized protein
cgd1_440-RA-p1,97,20.134555,0.08959,-,1.0433994117868233,1.3039420355734432,-20.134555,Signal peptidase I
cgd5_1310-RA-p1,98,19.784276000000002,0.09265,+,1.0289562081639714,1.2963201620087663,19.784276000000002,CS domain containing protein
cgd4_530-RA-p1,99,19.737312,0.09265,-,1.0289562081639714,1.2952880063348333,-19.737312,26S proteasome regulatory subunit 5a with a vWA domain and two ubiquitin interacting motifs (UIM)
cgd4_2780-RA-p1,100,19.719192,0.09265,-,1.0289562081639714,1.2948891156188536,-19.719192,DnaJ domain containing protein
cgd3_2250-RA-p1,101,19.685438,0.09265,-,1.0289562081639714,1.2941450822640108,-19.685438,60S ribosomal protein L37A
cgd8_600-RA-p1,102,19.558063,0.09265,-,1.0289562081639714,1.2913258407344534,-19.558063,"Serine aminopeptidase, S33"
cgd2_4370-RA-p1,103,19.47144,0.09265,-,1.0289562081639714,1.2893980707253936,-19.47144,Signal peptide containing protein
cgd2_1570-RA-p1,104,19.449092999999998,0.09265,-,1.0289562081639714,1.288899352999529,-19.449092999999998,vacuolar protein sorting/targeting protein 26
cgd6_5430-RA-p1,105,19.050869,0.0959,-,1.0141246426916064,1.279914790683402,-19.050869,Uncharacterized protein
cgd7_3870-RA-p1,106,18.844720000000002,0.09811,+,1.0043209394883779,1.2751896889674583,18.844720000000002,Uncharacterized Secreted Protein (CpLSP gene family)
cgd3_650-RA-p1,107,18.807941,0.09811,+,1.0043209394883779,1.2743412537490277,18.807941,Uncharacterized protein
cgd7_1930-RA-p1,108,18.773714000000002,0.09811,+,1.0043209394883779,1.2735501975093875,18.773714000000002,Creatinase/Aminopeptidase P/Spt16/cdc68p/PH-like domain-containing protein
cgd1_3730-RA-p1,109,18.768919,0.09811,+,1.0043209394883779,1.2734392600558504,18.768919,Glucosamine-fructose-6-phosphate aminotransferase/Sugar isomerase (SIS)
cgd6_410-RA-p1,110,18.715506,0.09811,-,1.0043209394883779,1.2722015733706733,-18.715506,Sgn1p-like RRM domain containing protein
cgd3_4030-RA-p1,111,18.64524,0.09811,-,1.0043209394883779,1.2705679779362549,-18.64524,Inhibitor of apoptosis-promoting Bax1-related protein
cgd6_2040-RA-p1,112,18.479542000000002,0.09866,+,1.0019151120634444,1.2666912033917956,18.479542000000002,Oligosaccharyl transferase STT3 protein
cgd2_2340-RA-p1,113,18.448307,0.09866,+,1.0019151120634444,1.265956517145798,18.448307,R1 like alpha-glucan water dikinase
cgd8_3940-RA-p1,114,18.425775,0.09866,+,1.0019151120634444,1.2654257636217283,18.425775,"eIF-2B gamma, eukaryotic translation initiation factor 2B subunit 3"
cgd4_2390-RA-p1,115,18.369457999999998,0.09866,+,1.0019151120634444,1.2640963424200287,18.369457999999998,Vacuolar protein sorting-associated protein 35
cgd2_2100-RA-p1,116,18.136351,0.09905,-,1.0002172015458644,1.258549912273294,-18.136351,Uncharacterized protein
cgd2_1370-RA-p1,117,17.623092,0.10564000000000001,+,0.9724873075511891,1.2460821084307145,17.623092,Uncharacterized protein with WD40 repeat
cgd1_570-RA-p1,118,17.601268,0.10564000000000001,-,0.9724873075511891,1.2455439556304462,-17.601268,Translocation protein Sec66
cgd3_3060-RA-p1,119,17.412672,0.10797999999999999,+,0.9630518878047217,1.2408654193548887,17.412672,exportin 1
cgd5_1780-RA-p1,120,17.282937,0.10942,+,0.9573457468322066,1.2376175468528472,17.282937,Fibronectin-binding protein A N-terminus domain containing protein
cgd7_2680-RA-p1,121,17.183423,0.11066,+,0.9524914944059878,1.2351096811445057,17.183423,Clathrin assembly protein
cgd1_260-RA-p1,122,16.986422,0.11425999999999999,-,0.9386983437939557,1.2301019092221244,-16.986422,Signal peptide region containing protein
cgd3_3370-RA-p1,123,16.744699,0.11935,+,0.9199149149541307,1.2238773451387122,16.744699,Uncharacterized protein
cgd1_3140-RA-p1,124,16.690216,0.11935,-,0.9199149149541307,1.2224619572305393,-16.690216,Adenylate kinase/UMP-CMP kinase
cgd6_2690-RA-p1,125,16.67898,0.11935,-,0.9199149149541307,1.222169487913443,-16.67898,FKBP-like Peptidylprolyl isomerase
cgd3_3850-RA-p1,126,16.497432,0.12205999999999999,+,0.9102361455083113,1.217416346939562,16.497432,PUA/Pseudouridine synthase II N-terminal/Dyskerin-like/tRNA pseudouridylate synthase B C-terminal domain containing protein
cgd5_2300-RA-p1,127,16.253012,0.12542999999999999,-,0.8984935038600725,1.210933856008078,-16.253012,DAD/Ost2
cgd4_2590-RA-p1,128,16.045448,0.12914,+,0.8859230391759109,1.2053518474029588,16.045448,Glycerophosphodiester phosphodiesterase-like protein
cgd1_660-RA-p1,129,15.851032,0.13194,-,0.8766711330736523,1.2000575427250624,-15.851032,Signal peptide region containing protein
cgd4_740-RA-p1,130,15.695145000000002,0.13446,-,0.8685096543050517,1.195765332295315,-15.695145000000002,Thioredoxin peroxidase-like protein
cgd7_1793-RA-p1,131,15.533029,0.13756,-,0.8586756727245826,1.1912561530702024,-15.533029,Uncharacterized protein
cgd1_1900-RA-p1,132,15.480982000000001,0.13756,-,0.8586756727245826,1.1897985056785696,-15.480982000000001,Fur1p like uracil phosphoribosyltransferase
cgd2_1070-RA-p1,133,15.479225,0.13756,-,0.8586756727245826,1.1897492130232896,-15.479225,40S ribosomal protein S25
cgd5_1330-RA-p1,134,15.457563,0.13756,-,0.8586756727245826,1.189141025217596,-15.457563,RRM domain containing protein
cgd3_3750-RA-p1,135,15.448751000000001,0.13756,-,0.8586756727245826,1.188893373357317,-15.448751000000001,Multiprotein bridging factor 1
cgd8_5300-RA-p1,136,15.236854000000001,0.13801,-,0.8572664886864807,1.1828953061452188,-15.236854000000001,Uncharacterized Secreted Protein
cgd3_4020-RA-p1,137,15.010129999999998,0.14234000000000002,-,0.8439356876601346,1.1763844536049066,-15.010129999999998,CSN8/PSMD8/EIF3K
cgd7_3820-RA-p1,138,14.986359,0.14234000000000002,+,0.8439356876601346,1.1756961319623056,14.986359,Uncharacterized protein
