Gene_acc,Gene_id,SignedRank,log10iBAQ,FDR,Desc
1,cgd1_800-RA-p1,93.85720699999999,8.106945929963517,0.01,Protein disulfide isomerase
2,cgd7_5150-RA-p1,67.279057,7.623758536332682,0.04,Chitin-binding type-2 domain containing protein
3,cgd6_4840-RA-p1,65.097189,7.598579443427431,0.04,"Serine protease, subtilase family, signal peptide"
4,cgd6_2090-RA-p1,62.289538,10.226054000320948,0.04,Growth factor receptor cysteine-rich domain containing protein
5,cgd4_3090-RA-p1,56.644123,8.266197208982305,0.04,Oocyst wall protein 6
6,cgd8_600-RA-p1,55.154359,7.57838403953195,0.04,"Serine aminopeptidase, S33"
7,cgd7_4560-RA-p1,53.858537,7.561190806493592,0.04,Sushi/SCR/CCP/SbsA/lg-like domain containing protein
8,cgd7_850-RA-p1,52.503351,7.745729638371143,0.04,Patched family protein/Sterol-sensing domain-containing protein
9,cgd6_200-RA-p1,48.909501,9.665410949735136,0.04,Oocyst wall protein 8
10,cgd3_190-RA-p1,47.503254999999996,9.180822801982426,0.04,Fibrillin/EGF-like calcium-binding conserved site-containing protein
11,cgd6_2470-RA-p1,46.831046,7.495900368546989,0.04,Sulfhydryl oxidase
12,cgd8_5090-RA-p1,45.649063,7.593456353882251,0.04,Uncharacterized protein
13,cgd3_3700-RA-p1,39.920146,6.396988237988241,0.062310000000000004,Uncharacterized protein
14,cgd6_300-RA-p1,39.351815,7.930354163222555,0.06429,Uncharacterized protein
15,cgd2_3320-RA-p1,38.635797,7.086642623295687,0.06429,Papain family cysteine protease
16,cgd2_2510-RA-p1,34.095415,6.572177802842336,0.09938,Glucose-methanol-choline oxidoreductase
17,cgd7_2070-RA-p1,-32.944376,7.06587399919323,0.10412,Uncharacterized Protein
18,cgd6_1450-RA-p1,32.31537,8.433626511761592,0.10778,Polysaccharide pyruvyl transferase with Fringe-like domain
19,cgd6_4440-RA-p1,31.897522,7.370500444851414,0.10778,Uncharacterized protein
20,cgd6_210-RA-p1,31.38707,6.897781632312245,0.10778,Oocyst wall protein 9
21,cgd4_670-RA-p1,31.280965999999996,8.43198875190771,0.10778,Oocyst wall protein 3
22,cgd7_1800-RA-p1,29.603129,7.174728333311894,0.11727,Chitin-binding type-2 domain containing protein
23,cgd6_4640-RA-p1,28.270684999999997,6.857245829950274,0.12825999999999999,Uncharacterized protein
24,cgd6_670-RA-p1,26.321046000000003,6.360171661746274,0.15583,"Aspartic acid and asparagine hydroxylation/Peptidase C11, clostripain domain contining protein"
25,cgd3_1540-RA-p1,26.260156,8.69793217673608,0.15583,Signal peptide containing protein
26,cgd8_3350-RA-p1,26.198047,8.275893364419877,0.15583,Oocyst wall protein 4
27,cgd8_4230-RA-p1,25.56234,7.195442988263319,0.15583,Glucose-methanol-choline oxidoreductase
28,cgd2_3660-RA-p1,24.898737,6.455750346398536,0.15964,Subtilase family
