SEQENCE_ID                     TM SP PREDICTION
cgd1_10-RA-p1                  11  0 i20-43o63-83i104-125o145-172i219-242o248-269i276-298o310-330i337-357o377-397i413-432o
cgd1_100-RA-p1                  0  0 o
cgd1_1000-RA-p1                 0  0 o
cgd1_1010-RA-p1                 0  0 o
cgd1_1023-RA-p1                 0  0 o
cgd1_1040-RA-p1                 0  0 o
cgd1_1050-RA-p1                 2  0 o46-66i78-98o
cgd1_1060-RA-p1                 1  0 i193-214o
cgd1_1063-RA-p1                 0  0 i
cgd1_1070-RA-p1                 0  0 o
cgd1_1080-RA-p1                 0  0 o
cgd1_1090-RA-p1                 0  0 o
cgd1_110-RA-p1                  0  Y n7-18c22/23o
cgd1_1100-RA-p1                 5  0 i129-148o181-202i230-257o291-310i322-343o
cgd1_1110-RA-p1                 9  0 o20-42i63-82o94-114i184-203o215-234i317-337o349-366i386-407o419-438i
cgd1_1120-RA-p1                 0  0 o
cgd1_1130-RA-p1                 0  0 o
cgd1_1140-RA-p1                 0  0 o
cgd1_1150-RA-p1                 0  0 o
cgd1_1160-RA-p1                 0  Y n6-17c22/23o
cgd1_1170-RA-p1                 0  0 o
cgd1_1180-RA-p1                 0  0 o
cgd1_1190-RA-p1                 0  0 o
cgd1_120-RA-p1                  0  Y n4-17c22/23o
cgd1_1200-RA-p1                 0  0 o
cgd1_1210-RA-p1                 0  0 i
cgd1_1220-RA-p1                 0  0 o
cgd1_1230-RA-p1                 0  Y n7-18c23/24o
cgd1_1240-RA-p1                 0  0 o
cgd1_1250-RA-p1                 0  Y n21-32c38/39o
cgd1_1260-RA-p1                 0  Y n3-13c18/19o
cgd1_1270-RA-p1                 0  0 o
cgd1_1280-RA-p1                 0  0 o
cgd1_1290-RA-p1                 1  0 o6-27i
cgd1_130-RA-p1                  0  Y n5-16c24/25o
cgd1_1300-RA-p1                 1  0 o637-654i
cgd1_1310-RA-p1                 0  0 o
cgd1_1320-RA-p1                 0  0 o
cgd1_1330-RA-p1                 0  0 o
cgd1_1340-RA-p1                 0  0 o
cgd1_1350-RA-p1                 6  0 i113-133o153-171i234-258o264-283i345-366o378-402i
cgd1_1360-RA-p1                 0  0 o
cgd1_1370-RA-p1                 0  0 o
cgd1_1380-RA-p1                 4  0 i28-48o68-87i168-186o206-231i
cgd1_1390-RA-p1                 0  0 o
cgd1_140-RA-p1                  0  Y n7-18c23/24o
cgd1_1400-RA-p1                 1  0 i104-126o
cgd1_1410-RA-p1                 0  0 o
cgd1_1420-RA-p1                 0  0 o
cgd1_1433-RA-p1                 0  Y n6-17c22/23o
cgd1_1450-RA-p1                 0  Y n5-17c21/22o
cgd1_1460-RA-p1                 0  0 o
cgd1_1470-RA-p1                 1  0 i92-114o
